Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001427,05-06-2015,INR,G K WINDING WIRES ,964.365,KG,272171.405,0.000,0.000,0.000,0.000,34022.000,0.000,0.000,0.000,306193.406
SI001428,06-06-2015,INR,SCT Limited,291.070,KG,152645.840,0.000,0.000,0.000,0.000,19081.000,6869.000,1717.000,0.000,180312.840
SI001429,06-06-2015,INR,ATUL GENERATOR (P) ,396.730,KG,195300.641,0.000,0.000,0.000,0.000,24412.000,8789.000,2197.000,0.000,230698.641
SI001430,06-06-2015,INR,ATOZ POWER SYSTEMS,105.455,KG,55819.441,0.000,0.000,0.000,0.000,6977.000,2512.000,628.000,0.000,65936.441
SI001432,06-06-2015,INR,Denso India Ltd.,81.000,KG,39619.530,0.000,0.000,0.000,0.000,4952.000,1783.000,446.000,0.000,46800.530
SI001433,06-06-2015,INR,Denso India Ltd.,471.000,KG,230380.230,0.000,0.000,0.000,0.000,28798.000,10367.000,2592.000,0.000,272137.230
SI001434,06-06-2015,INR,Denso India Ltd.,80.000,KG,39130.400,0.000,0.000,0.000,0.000,4891.000,1761.000,440.000,0.000,46222.400
SI001435,06-06-2015,INR,Denso India Ltd.,170.000,KG,85022.100,0.000,0.000,0.000,0.000,10628.000,3826.000,957.000,0.000,100433.100
SI001436,06-06-2015,INR,Denso India Ltd.,298.000,KG,149038.740,0.000,0.000,0.000,0.000,18630.000,6707.000,1677.000,0.000,176052.740
SI001437,06-06-2015,INR,Denso India Ltd.,1005.000,KG,502630.650,0.000,0.000,0.000,0.000,62829.000,22618.000,5655.000,0.000,593732.650
SI001438,06-06-2015,INR,Denso India Ltd.,745.000,KG,372596.850,0.000,0.000,0.000,0.000,46575.000,16767.000,4192.000,0.000,440130.850
SI001439,06-06-2015,INR,Denso India Ltd.,165.000,KG,80706.450,0.000,0.000,0.000,0.000,10088.000,3632.000,908.000,0.000,95334.450
SI001440,06-06-2015,INR,Denso India Ltd.,1031.000,KG,514603.030,0.000,0.000,0.000,0.000,64325.000,23157.000,5789.000,0.000,607874.030
SI001441,06-06-2015,INR,Denso India Ltd.,967.000,KG,481691.710,0.000,0.000,0.000,0.000,60211.000,21676.000,5419.000,0.000,568997.710
SI001442,06-06-2015,INR,Denso India Ltd.,222.000,KG,110806.860,0.000,0.000,0.000,0.000,13851.000,4986.000,1247.000,0.000,130890.860
SI001443,06-06-2015,INR,Denso India Ltd.,85.000,KG,44211.050,0.000,0.000,0.000,0.000,5526.000,1989.000,497.000,0.000,52223.050
SI001445,06-06-2015,INR,G K WINDING WIRES ,1077.675,KG,561790.440,0.000,0.000,0.000,0.000,70224.000,0.000,0.000,0.000,632014.440
SI001446,06-06-2015,INR,G K WINDING WIRES ,61.940,KG,16903.426,0.000,0.000,0.000,0.000,2113.000,0.000,0.000,0.000,19016.426
SI001447,06-06-2015,INR,Orient Electric,2620.810,KG,82555.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82555.515
SI001448,06-06-2015,INR,NOIDA ELECTRONICS (U-,1384.000,KG,12040.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12040.800
SI001450,06-06-2015,INR,NTL ElECTRONICS INDIA ,570.480,KG,296073.390,0.000,0.000,0.000,0.000,37009.000,13323.000,3331.000,0.000,349736.390
SI001451,06-06-2015,INR,NTL ElECTRONICS INDIA ,239.690,KG,111930.436,0.000,0.000,0.000,0.000,13991.000,5037.000,1259.000,0.000,132217.436
SI001452,06-06-2015,INR,NTL ELECTRONICS INDIA ,279.300,KG,139714.239,0.000,0.000,0.000,0.000,17464.000,6287.000,1572.000,0.000,165037.239
SI001453,06-06-2015,INR,YMD ELECTROMAC PVT. ,186.665,KG,111808.602,0.000,0.000,0.000,0.000,13976.000,5031.000,1258.000,0.000,132073.602
SI001454,06-06-2015,INR,DixonTechnologies (India) ,177.510,KG,112624.770,0.000,0.000,2534.000,0.000,14078.000,0.000,0.000,0.000,129236.770
SI001455,06-06-2015,INR,DixonTechnologies (India) ,85.640,KG,61396.172,0.000,0.000,1381.000,0.000,7675.000,0.000,0.000,0.000,70452.172
SI001456,06-06-2015,INR,DixonTechnologies (India) ,131.510,KG,84023.054,0.000,0.000,1891.000,0.000,10503.000,0.000,0.000,0.000,96417.054
SI001457,06-06-2015,INR,DixonTechnologies (India) ,322.120,KG,200342.258,0.000,0.000,4508.000,0.000,25043.000,0.000,0.000,0.000,229893.258
Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001458,06-06-2015,INR,DIXON TECHNOLOGOES,176.825,KG,97059.242,0.000,0.000,0.000,0.000,12132.000,4368.000,1092.000,0.000,114651.242
SI001459,06-06-2015,INR,DIXON TECHNOLOGOES,40.695,KG,21890.247,0.000,0.000,0.000,0.000,2736.000,985.000,246.000,0.000,25857.248
SI001460,06-06-2015,INR,DIXON TECHNOLOGOES,362.805,KG,200598.513,0.000,0.000,0.000,0.000,25075.000,9027.000,2257.000,0.000,236957.513
SI001461,06-06-2015,INR,C & S Electric Ltd.(NSEZ),133.535,KG,73353.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73353.446
SI001462,06-06-2015,INR,L G Electronics India (P) ,1100.285,KG,555283.236,0.000,0.000,0.000,0.000,69410.000,24988.000,6247.000,0.000,655928.236
SI001463,06-06-2015,INR,STAR SINTERED ,1074.000,KG,352272.000,0.000,0.000,0.000,0.000,44034.000,15852.000,3963.000,0.000,416121.000
SI001464,06-06-2015,INR,ANU INDUSTRIES LTD ,169.560,KG,96213.431,0.000,500.000,2165.000,0.000,12027.000,0.000,0.000,0.000,110905.431
