Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000195,15-05-2015,BANSAL MACHINERY STORE,,MRN-388 BILL 96,10-05-2015,,,INR,"HAND TOOLS ( DRILL , TAP , DIE , TOOL BIT , FILE ETC. )",PCS,1.00,1490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,15.00,0.00
PB0000196,15-05-2015,Iskon Packaging Wood Works,RCPT0000000094,08,10-05-2015,MRN-390,10-05-2015,INR,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,125.00,0.00
PB0000197,15-05-2015,Shri Balaji House Keeping Service,,MRN-391 BILL78,10-05-2015,,,INR,MISC. STATIONERY ITEMS,PCS,20.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000198,15-05-2015,AGGARWAL SANITARY & HARDWARE STORE,,MRN-392 BILL 126,10-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,17925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,717.00,0.00,179.00,0.00
PB0000199,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000095,19,10-05-2015,MRN-393,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,8.00,2960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,5.00,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000200,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000096,20,11-05-2015,MRN-394,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,2.00,740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,30.00,15600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000201,15-05-2015,Savitri Enterprises,,MRN-395 BILL 221,11-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,35535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1421.00,0.00,355.00,0.00
PB0000202,15-05-2015,Iskon Packaging Wood Works,RCPT0000000097,09,11-05-2015,MRN-396,11-05-2015,INR,WOODEN PALLET 44*33,PCS,25.00,13250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,0.00,133.00,0.00
PB0000203,15-05-2015,Fuming Beverages,,MRN-397 BILL 228,11-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000205,15-05-2015,Iskon Packaging Wood Works,RCPT0000000098,10,12-05-2015,MRN-405,12-05-2015,INR,WOODEN PALLET 37*25.50,PCS,25.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,440.00,0.00,110.00,0.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,125.00,0.00
PB0000206,16-05-2015,ELANTAS Beck India Ltd.,RCPT0000000026,716,28-04-2015,MRN-313,05-05-2015,INR,LUBECKAN W-25,L,720.00,119520.00,0.00,0.00,0.00,2725.00,0.00,16733.00,0.00,0.00,0.00,0.00,0.00
PB0000207,16-05-2015,HPT AND COMPANY,,MRN-366,08-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,9800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.00,0.00,98.00,0.00
PB0000208,16-05-2015,Wirex Dies & Steel (I) Pvt. Ltd.,RCPT0000000027,092,07-05-2015,MRN-400,11-05-2015,INR,LUB. OIL ( GRADE 40 ),L,210.00,24150.00,0.00,0.00,0.00,551.00,0.00,3381.00,0.00,0.00,0.00,0.00,0.00
