,,SI001327,02-06-2015,CU0.55DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,172.415,KG,6134.526,0000010100089,767.000,0.000,0.000,0.000,0.000,6901.526,,,,,,,,
,,,,CU0.55MCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,1445.920,KG,51445.834,0000010100089,6431.000,0.000,0.000,0.000,0.000,57876.834,,,,,,,,
,,SI001329,02-06-2015,CU0.87DCFINEPT-180,INR,G K WINDING WIRES LTD. - PUNE,1163.500,KG,42418.282,0000010100085,5302.000,0.000,0.000,0.000,0.000,47720.282,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page 6 of,,,, 11
,"13-Jul-2015 , 3.35 PM",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI001329,02-06-2015,CU0.95DCMEDPT-180,INR,G K WINDING WIRES LTD. - PUNE,1144.660,KG,36594.780,0000010100085,4574.000,0.000,0.000,0.000,0.000,41168.780,,,,,,,,
,,,,CU2DCMEDPT-90,INR,G K WINDING WIRES LTD. - PUNE,734.660,KG,23487.080,0000010100085,2936.000,0.000,0.000,0.000,0.000,26423.080,,,,,,,,
,,SI001371,04-06-2015,CU30MPFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,514.125,KG,7876.395,0000010100027,985.000,0.000,0.000,0.000,0.000,8861.395,,,,,,,,
,,,,CU30MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,696.290,KG,6962.900,0000010100091,870.000,0.000,0.000,0.000,0.000,7832.900,,,,,,,,
,,,,CU33MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,52.490,KG,524.900,0000010100091,66.000,0.000,0.000,0.000,0.000,590.900,,,,,,,,
,,,,CU34MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,145.640,KG,1456.400,0000010100091,182.000,0.000,0.000,0.000,0.000,1638.400,,,,,,,,
,,,,CU34SSMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,252.660,KG,1351.731,0000010100086,169.000,0.000,0.000,0.000,0.000,1520.731,,,,,,,,
,,SI001372,04-06-2015,CU0.55DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,946.645,KG,33681.629,0000010100089,4210.000,0.000,0.000,0.000,0.000,37891.629,,,,,,,,
,,,,CU0.6DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,973.800,KG,34647.804,0000010100089,4331.000,0.000,0.000,0.000,0.000,38978.804,,,,,,,,
,,SI001382,04-06-2015,CU0.23SSMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,126.025,KG,378.075,0000010100086,47.000,0.000,0.000,0.000,0.000,425.075,,,,,,,,
,,SI001397,05-06-2015,CU0.55DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,485.295,KG,17266.796,0000010100089,2158.000,0.000,0.000,0.000,0.000,19424.796,,,,,,,,
